,GBM1,GBM2,GBM3,GBM5,GBM7,GBM10,GBM11,GBM12,GBM13,O1,GBM15,OA1,GBM17,GBM19,GBM23,GBM26,GBM27,GBM29,A1,OA2,OA3,A2,A3,OA4,O5,O6,O7,O8,GBM31,GBM34,GBM37,GBM38,GBM39,GBM40,GBM43,GBM44,GBM46,GBM48,GBM49,OA5,A6,GBM52,GBM53,GBM54,GBM55,GBM59,A7,A8,OA6,O11,OA7
KIF3A,3.28413418433573,3.46268872811148,3.49108631988574,3.7278271954041,3.322429979849,3.23115088895465,3.58408086740528,3.63536812062459,3.37449649214577,3.54575763336694,3.60800446015889,3.78049157114627,3.43753462992008,3.52030951807249,3.51128442355946,2.91694271531854,3.3458730291394,2.858149648462,3.56546693594192,3.7841195299344,3.86575279849953,3.81061145272146,3.76446606357551,3.79211904912625,3.54072053917374,3.69276939123313,3.74619181833774,3.45602408145216,3.3287882188676,3.14901608643841,3.49363173405365,3.59148600224095,3.36920861910846,3.2544837861334,3.18277717407453,3.28710136935898,3.27506868087124,3.37569488203794,3.61386010201333,3.60020114720241,3.64455783173988,3.58300845913143,3.45178060396913,3.19633400623281,3.59084194619628,3.46307287605664,3.3463924895382,3.36273799996313,3.66494944494665,3.81311415470999,3.62378541643297
AI860012,3.63468469447904,3.51231503553118,3.352962582099,2.9654876859827,3.47550339332963,3.64577702750806,3.40193962738169,3.19984180816828,3.65248943917295,3.28573886465249,3.47603024061432,3.04399105833637,3.35152304817301,3.28894974844859,3.14736432384588,3.50278792614052,3.62066708999831,3.36119332501315,2.72151219277783,2.93607319275719,2.96397330700559,3.12175872718001,3.08144272687141,3.04930099601059,2.83325168712601,2.89401571955745,3.09449209166661,3.32626661411842,3.58448127885244,3.23925316860069,3.5803587700494,3.20472485916461,3.36252884225961,3.66703199697655,3.39646629509736,3.13901845702981,3.46563368817121,3.28523878461635,3.04684971290941,2.90324142078777,2.81615310605104,3.4982014839248,3.26347794241304,3.1989274747729,3.40898204238125,3.52524946059673,3.18167755285908,3.07567905441339,3.03729977702792,3.00439747614743,3.62495879953416
PPM1L,3.01914247200463,3.23494655714737,3.12066439979943,3.54091031489574,3.00807529510422,3.11970941751974,3.19846436038007,3.29587198858571,3.48128436167834,3.28342200006234,3.23034442266419,3.5574978181562,2.97014456134087,3.31749399440546,3.28504958536703,3.04723825267367,2.84885083470076,2.80596616704771,3.82129763760124,3.44059646637475,3.5109450738238,3.70972725615683,3.57493343094194,3.43359432109911,3.43549828901533,3.64387354073649,3.21697433635663,3.37708048314101,3.03005256303909,3.10867087856712,2.85914370341626,3.0316709815574,2.97060858300767,3.12865253330393,3.44100206777627,3.47976528145249,3.1561149427161,3.11914301084643,3.41830526957159,3.51186785972996,3.64590247887863,3.32130880425794,3.20833276924413,3.05544905139061,3.42601585066744,3.0874981824993,3.51782549837057,3.5475827367934,3.23360547277962,3.74475449848805,2.94837530572788
CHI3L1,3.76878234888067,3.77710232163629,4.75718870240165,3.44596316505294,4.93064084260424,3.76997156303506,3.96814130931589,3.52889395704212,3.6818514446248,3.75938224938948,3.41351048830298,3.60193142113199,4.64146231101884,3.57718504285638,4.46971806730034,4.35619812505361,4.81932113797545,4.95275094826686,1.64873071093633,2.06946829029136,2.17186096175182,3.14283604660611,3.09893431173923,2.73557814248058,2.37834520093081,3.95258633424262,3.76311181694572,3.74793063126465,4.28831762939275,2.76495283204222,3.4930924763596,3.14654630794733,4.31993523837204,3.59069429666724,4.50338209072786,3.59086924193181,4.67763140390636,4.9952379625467,2.11258489484312,2.87295999353854,2.76620234175745,4.09872825794189,4.8118414388555,3.08293429701849,3.8820433030971,4.93728097141955,2.32256452499854,2.59110914776618,2.03790833726559,3.28551162692661,4.93507865462751
GLA,3.54569298453377,3.6345177755529,3.3803726245056,3.26770476173322,3.67193547536834,3.56152425689088,3.51129820612991,3.47999644498352,3.61348631574279,3.38379436859087,3.63929270687531,3.31037846747763,3.43019409916359,3.38878249502686,3.40881129731211,3.7195174798326,3.61522397346384,3.88853386394361,3.2140449652099,3.20556242802091,3.28064778820405,3.20520111485009,3.16934403303947,3.31988209654359,3.40695503150723,3.34398116977624,3.3964699555558,3.39890671379226,3.56381676256976,3.46328096385846,3.56443583899837,3.52816399938474,3.68087808778371,3.49722484031425,3.54543454031092,3.42634060052975,3.55488269352426,3.52659254197596,3.38107751848167,3.3103708165839,3.25776374582152,3.35391930692174,3.52884692487878,3.42299013850851,3.30694479743875,3.55278851240318,3.48455407637405,3.41454569148795,3.34593295340857,3.12239840747705,3.48877612451293
HPSE2,1.87215627274829,2.08304371662349,1.52079784032238,2.53268814721793,1.81347423640594,1.71729594973894,2.10823342630629,1.65712280939965,1.52887815171939,2.69839461745175,2.25503840555001,2.51844418395024,1.8998970715301,2.51575466119086,2.0744690123554,2.08275306621969,2.12363933990189,1.89168795727955,3.98675382484618,2.84280699824332,3.15460897298082,2.59669933520333,2.62630237778013,2.62967152405079,3.39370398100317,2.84870072859647,1.9603565996837,2.00016934182843,1.73858238623274,1.82299793960685,2.19861035655311,1.96337694151645,1.90455326297677,2.27530213864601,1.6620207942429,1.90732535335141,1.68661839669364,1.77390341090754,1.7196461192208,3.18021220914438,1.97400018603865,2.11578020279871,1.64951009915197,1.57090470123718,1.75146387083655,2.01149854858933,2.00395142095419,2.51052892492792,2.83288109683384,2.92937600507997,1.49001469513676
AF274957,3.99865002767361,4.4402742021165,3.97255758335015,3.98172838772649,4.04417225766271,4.17586530925205,4.115723912622,4.04001453746709,3.88366892879767,4.12562412020795,3.89766238315485,4.15775547328822,4.17486899951902,4.237642498748,4.23290954763764,4.13137360694772,3.97802882988532,4.1734349109681,4.24867671959355,4.29892172879426,4.15523796087536,4.428957520854,4.35844940958404,4.27056907268295,4.32786742534731,4.33107192054657,3.99237552223898,4.21630329713262,4.14592526588959,3.93703925248461,4.05880457636337,4.04811491086124,3.94998853003553,4.16968618747167,3.87057630118486,4.29296388172948,3.90374993864165,3.81890241698901,4.22597830348027,4.16830327452696,4.41419489611627,3.90489171519906,4.01110401382224,4.20781593614175,3.99968902069708,3.9069302529989,4.32166080533636,4.29099400983017,4.13591164613167,4.30019343416511,4.06304618674214
SRP19,3.73903377026741,3.86728565896254,3.74763658838755,3.59660655104896,3.89284328201378,3.72725708343519,3.64428670756333,3.69233744772225,3.87409333022422,3.64554792145129,3.8579462273544,3.69750465747816,3.68879166091704,3.6810578902164,3.7302461805225,3.87067984627319,3.7852599862979,3.90071202361415,3.58864845495389,3.54871707319397,3.67415201020047,3.67237590218648,3.65225398219759,3.51611846267383,3.5893837568879,3.62046160171624,3.58854228606383,3.81787125103271,3.69937752873359,3.87623955477289,3.92479491135136,3.79068823027022,3.81096697027778,3.77931006546494,3.94151620289084,3.67559762291472,3.74987940825304,3.61920783981932,3.77444922510474,3.7330214245384,3.67511457355696,3.65593921921906,3.80798390521439,3.6438582562761,3.76450400931204,3.79269572928004,3.59995584849308,3.56743927918994,3.60580522043197,3.6972008248966,3.75897181182343
GPHN,3.32967159185916,3.21944384231048,3.12507703737756,3.32838959413585,2.8349614863299,3.180623279068,3.28500632824885,3.37730770842979,2.9418422449667,3.53493235277872,3.26423254744135,3.488294012091,3.4586919247631,3.47213395332688,3.53894265198212,2.68682210038817,2.81021167673815,2.87729530888012,3.4508090179181,3.68143454586997,3.43920017431569,3.56116711940449,3.57156396520077,3.60960529312745,3.51078581602141,3.55206806162555,3.47391258900234,3.32119729432966,3.27622873921073,3.34384227775862,2.76670797781874,3.37467485789954,3.01810480736532,3.13466437909909,3.18265313503,3.29621640683952,2.95512997555804,3.12216015389653,3.40907856494804,3.37408797312739,3.56776697730415,3.31364896418187,3.25845241684573,3.20635004951678,3.02602758710439,2.94915132308859,3.25702207831094,3.43128252740851,3.38215703943237,3.46826179256554,3.44382665657608
TMEM127,3.37887572534946,2.87185361854159,3.4111007676367,3.11702424113244,3.41570768667486,3.21981732737441,2.75683001432588,3.05043389467451,3.4382696623248,3.07246790946166,3.1695421862414,3.22270346812413,3.18494540462093,3.26758985828021,3.19575329540635,3.67579318439641,3.33186157626604,3.49189876600862,2.86722758734564,2.94184671367844,2.94433804775034,3.10837049471542,2.76902782955071,3.09743258903659,3.13316608540426,2.3314475428778,2.66485718940116,2.57996641896508,3.37109632148828,3.09090072814377,3.36881125546214,2.58481388248043,3.50574387691105,3.16874490784898,3.29231943827514,3.18329148667179,3.37021192123437,3.47262877429513,2.11101033452768,3.06906617842749,2.45622023148872,3.24697422229802,3.45171107966174,3.24518731863288,3.11696154319951,3.31160448043652,2.51954318166676,2.25960582301438,3.09531095369357,2.983255422627,3.33572481447344
