,AA3,AOA3,AOA4,GBM1,GBM15,GBM16,GBM21,GBM22,GBM25,GBM27,GBM28,GBM29,GBM31,GBM4,GBM5,GBM6,GNN1,GS1,JPA3,LGG1,O1,O2,O3,O5,sGBM1,sGBM3
TCTEX1D1,0.396454202725813,0.0330028752921849,0.0199674770620964,0.534551547858557,-0.266094469840559,0.198038273522273,0.415913668591806,0.464932078832008,0.136808185026698,-0.438758186654718,0.0895692469736008,-0.0498024344423284,-0.405147567185691,0.0371798664426274,-0.000333407893655838,-0.0881564167432134,0.189994025734663,-0.162005974265337,0.213348008035548,-0.247864381344983,0.227463052283335,-1.34563429284941,-1.10099712470782,-1.28883783267242,0.183542698301034,-0.426220259979623
GYPA,-0.247545797274187,-0.429997124707815,-0.0480325229379036,0.111551547858557,0.114905530159442,-0.447961726477727,0.313913668591806,0.745932078832008,0.727808185026698,-0.0217581866547178,0.432569246973601,-0.0178024344423284,0.332852432814309,0.0941798664426274,0.0486665921063442,0.612843583256787,0.205994025734663,0.240994025734663,-0.0736519919644523,-0.144864381344983,0.518463052283335,0.635365707150592,0.427002875292185,0.482162167327583,0.217542698301034,0.366779740020377
VASP,0.156454202725813,-0.573997124707815,-0.325032522937904,-0.451448452141443,-0.826094469840559,-0.120961726477727,-0.426086331408194,-0.682067921167992,-0.403191814973302,-0.495758186654718,-0.345430753026399,-0.391802434442328,-0.659147567185691,-0.437820133557373,-0.485333407893656,-0.463156416743213,0.0809940257346628,-0.171005974265337,-0.225651991964452,0.104135618655017,-0.920536947716665,-0.311634292849408,-0.287997124707815,-0.700837832672417,-0.279457301698966,-0.308220259979623
ACAD8,-0.0195457972741868,0.103002875292185,0.0859674770620964,-0.145448452141443,-0.358094469840558,-0.275961726477727,-0.309086331408194,0.325932078832008,-0.164191814973302,0.599241813345282,0.371569246973601,-0.341802434442328,0.523852432814309,0.518179866442627,0.272666592106344,-0.228156416743213,-0.354005974265337,0.0559940257346628,0.488348008035548,0.337135618655017,0.761463052283335,0.143365707150592,0.633002875292185,0.669162167327583,0.0145426983010344,0.285779740020377
C1orf63,-0.535545797274187,-0.209997124707815,-0.273032522937904,-0.656448452141443,-0.356094469840558,-0.704961726477727,0.0399136685918056,-0.375067921167992,-0.489191814973302,-0.0637581866547178,-0.766430753026399,-0.395802434442328,-0.234147567185691,0.0931798664426274,-0.453333407893656,-0.144156416743213,-0.704005974265337,0.0189940257346627,-0.389651991964452,-0.208864381344983,-0.586536947716665,-0.475634292849408,-0.350997124707815,-0.321837832672417,-0.428457301698966,-0.801220259979623
USP6NL,-0.663545797274187,0.110002875292185,-0.633032522937904,-0.603448452141443,-0.483094469840558,-0.902961726477727,-0.832086331408194,-1.33006792116799,-1.0321918149733,-0.845758186654718,-1.0194307530264,-1.76780243444233,-0.917147567185691,-0.687820133557373,-0.876333407893656,-0.220156416743213,-0.821005974265337,-0.321005974265337,-0.685651991964452,-0.111864381344983,-0.479536947716665,-0.034634292849408,-0.143997124707815,0.0191621673275831,0.236542698301034,-0.074220259979623
CACNB2,-0.347545797274187,-0.121997124707815,-0.551032522937904,0.238551547858557,-0.0280944698405585,-0.818961726477727,0.0869136685918056,-0.777067921167992,-0.340191814973302,-0.685758186654718,-0.473430753026399,-0.719802434442328,-0.118147567185691,-0.405820133557373,-0.510333407893656,-0.0971564167432134,-0.140005974265337,-0.139005974265337,-0.374651991964452,0.139135618655017,0.301463052283335,0.636365707150592,-0.109997124707815,0.300162167327583,0.399542698301034,0.235779740020377
CLCA3,0.345454202725813,0.0200028752921849,0.537967477062096,0.531551547858557,-0.0430944698405585,0.293038273522273,0.194913668591806,0.485932078832008,0.308808185026698,0.177241813345282,0.256569246973601,0.110197565557672,-0.0851475671856912,0.100179866442627,0.0546665921063442,0.644843583256787,0.833994025734663,0.572994025734663,0.471348008035548,0.293135618655017,0.712463052283335,0.516365707150592,0.470002875292185,0.365162167327583,0.413542698301034,0.535779740020377
COX7A1,-0.127545797274187,0.0760028752921849,-0.664032522937904,0.299551547858557,0.178905530159442,0.225038273522273,-0.310086331408194,-0.362067921167992,-0.245191814973302,0.416241813345282,-0.196430753026399,-0.100802434442328,0.0358524328143088,0.235179866442627,-0.125333407893656,-0.638156416743213,0.0769940257346628,-0.105005974265337,-0.0366519919644523,-0.112864381344983,-0.991536947716665,-0.754634292849408,-1.01999712470782,-0.400837832672417,-0.683457301698966,0.257779740020377
CEAL1,-0.539545797274187,-0.318997124707815,-0.182032522937904,-0.515448452141443,-0.210094469840558,-0.398961726477727,0.0599136685918056,0.384932078832008,-0.196191814973302,0.0102418133452822,-0.206430753026399,-0.0998024344423284,0.0258524328143088,-0.213820133557373,-0.0233334078936558,-0.139156416743213,-0.273005974265337,-0.474005974265337,-0.262651991964452,-0.116864381344983,0.0514630522833353,-0.058634292849408,0.157002875292185,-0.0258378326724169,-0.190457301698966,-0.092220259979623
