,AO1,AO2,AO3,AOA1,AOA2,AOA6,AOA7,GBM11,GBM23,GBM24,GBM26,GBM3,GBM30,GBM9,GS2,JPA2,O4
MGC26694,2.58203730637243,1.46897856320303,2.5305832176195,1.51221182823035,1.62896385140942,2.32534126005619,3.57135068268514,0.464431444002015,2.02663617932325,0.474427331240307,2.22887980315471,-0.577110917671285,-0.0344480205367508,-0.928152418461903,0.700529244796448,0.563097411122282,3.0001821151156
LSP1,-0.76696269362757,-1.38602143679697,-2.3644167823805,-0.841788171769646,-1.71303614859058,-1.03765873994381,-1.48764931731486,-0.628568555997985,-1.29836382067675,-0.957572668759693,-1.19212019684529,0.658889082328715,1.37955197946325,0.926847581538097,-0.455470755203553,-0.387902588877718,-3.0128178848844
PRKAR1B,0.748703973039098,-0.224688103463635,0.746249884286166,0.635545161563687,-0.281036148590577,0.400674593389519,-0.135649317314857,-0.552235222664652,-1.29103048734342,-0.25123933542636,-0.176453530178624,-1.63977758433796,-1.40644802053675,-1.18081908512857,-0.68213742187022,-0.588902588877718,0.0178487817822669
YWHAG,0.79903730637243,0.243978563203032,0.780583217619499,0.575211828230354,-0.326036148590578,0.375341260056186,0.513350682685143,0.355431444002015,0.78463617932325,0.326427331240307,0.179879803154709,-0.619110917671285,-0.353448020536751,0.0578475815380969,-0.614470755203553,-0.703902588877718,1.0281821151156
CLTB,0.43503730637243,-0.812021436796968,0.707583217619499,0.045211828230354,-0.148036148590577,-0.0826587399438137,0.952350682685143,-0.842568555997985,-0.28236382067675,-0.562572668759693,-0.309120196845291,-1.51711091767129,-0.81444802053675,-0.934152418461903,-0.802470755203553,-0.616902588877718,0.5161821151156
AI335002,-1.00196269362757,-0.257021436796968,-0.536416782380501,0.260211828230354,-0.605036148590577,-0.746658739943814,-0.275649317314857,0.619431444002015,0.25163617932325,-1.13457266875969,-0.294120196845291,2.03688908232871,0.86855197946325,1.7218475815381,0.538529244796447,-0.432902588877718,0.0121821151156
A2BP1,2.40103730637243,1.16597856320303,2.2085832176195,0.579211828230354,2.02596385140942,1.38634126005619,2.71735068268514,0.363431444002015,2.13263617932325,1.11142733124031,2.29487980315471,0.0478890823287146,0.184551979463249,0.126847581538097,0.309529244796447,0.998097411122282,2.6861821151156
HLA.A,-0.0309626936275695,0.296978563203032,0.204583217619499,-0.182788171769646,1.02796385140942,0.329341260056186,-0.969649317314857,1.04043144400202,-0.22436382067675,0.791427331240307,0.85087980315471,1.71988908232871,1.51555197946325,1.7588475815381,1.43152924479645,1.35909741112228,0.8701821151156
SNCG,1.50403730637243,-1.51602143679697,0.556583217619499,1.17021182823035,0.270963851409423,1.44934126005619,2.93935068268514,-0.908001889331318,0.98963617932325,-1.03257266875969,1.51487980315471,-2.76411091767129,-1.16244802053675,-2.4341524184619,-0.304470755203553,-0.0449025888777176,0.1681821151156
IGFBP5,0.0320373063724305,1.4086452298697,-0.0697501157138339,-0.131121505102979,0.605963851409423,-0.393992073277147,-0.819649317314857,0.740764777335345,2.20696951265658,0.285093997906974,0.0288798031547093,0.183222415662048,-0.618448020536751,1.60351424820477,1.00986257812978,0.129430744455615,-1.57048455155107
PYCR1,-1.03396269362757,-0.123021436796968,-0.585416782380501,-0.221788171769646,-2.37103614859058,-1.42065873994381,0.405350682685143,-2.16656855599798,-2.63236382067675,-1.51157266875969,-2.43912019684529,-3.07411091767129,-4.33744802053675,-3.0671524184619,-4.07147075520355,-3.40590258887772,-0.4078178848844
ABCC3,-1.58296269362757,-1.25502143679697,-0.799416782380501,0.867211828230354,1.02196385140942,0.236341260056186,-2.74764931731486,-0.0175685559979848,-0.24036382067675,-1.22757266875969,1.34787980315471,2.45188908232871,2.07355197946325,2.2668475815381,1.47852924479645,1.70409741112228,-1.8678178848844
