,GBM2,GBM4,GBM5,GBM6,GBM11,GBM13,O2,GBM15,GBM23,A1,OA3,A2,A3,OA4,O5,O6,O8,GBM33,GBM34,GBM35,GBM36,GBM37,GBM39,GBM43,GBM48,GBM49,A5,A6,GBM54,GBM56,GBM58,A8,O11,OA7
GLA,3.6345177755529,3.6656915672625,3.26770476173322,3.66219307062734,3.51129820612991,3.61348631574279,3.42365424646013,3.63929270687531,3.40881129731211,3.2140449652099,3.28064778820405,3.20520111485009,3.16934403303947,3.31988209654359,3.40695503150723,3.34398116977624,3.39890671379226,3.5484311870221,3.46328096385846,3.64185152486351,3.41257595194423,3.56443583899837,3.68087808778371,3.54543454031092,3.52659254197596,3.38107751848167,3.25510816593487,3.25776374582152,3.42299013850851,3.56354088576314,3.51425879095422,3.41454569148795,3.12239840747705,3.48877612451293
HPSE2,2.08304371662349,1.75389698550733,2.53268814721793,2.06221709882414,2.10823342630629,1.52887815171939,2.28851973673617,2.25503840555001,2.0744690123554,3.98675382484618,3.15460897298082,2.59669933520333,2.62630237778013,2.62967152405079,3.39370398100317,2.84870072859647,2.00016934182843,2.07099042100548,1.82299793960685,1.73797144690302,2.89721404030165,2.19861035655311,1.90455326297677,1.6620207942429,1.77390341090754,1.7196461192208,2.79927022941616,1.97400018603865,1.57090470123718,1.82254073247606,1.82585435851795,2.51052892492792,2.92937600507997,1.49001469513676
AF274957,4.4402742021165,4.13694523265451,3.98172838772649,4.17493635448463,4.115723912622,3.88366892879767,4.20272313767649,3.89766238315485,4.23290954763764,4.24867671959355,4.15523796087536,4.428957520854,4.35844940958404,4.27056907268295,4.32786742534731,4.33107192054657,4.21630329713262,3.84212419387194,3.93703925248461,4.21651298793309,4.07772798416284,4.05880457636337,3.94998853003553,3.87057630118486,3.81890241698901,4.22597830348027,4.31429599039485,4.41419489611627,4.20781593614175,4.09424462851496,4.16007730984756,4.29099400983017,4.30019343416511,4.06304618674214
SRP19,3.86728565896254,3.78443697664183,3.59660655104896,3.73757800745939,3.64428670756333,3.87409333022422,3.50005841053183,3.8579462273544,3.7302461805225,3.58864845495389,3.67415201020047,3.67237590218648,3.65225398219759,3.51611846267383,3.5893837568879,3.62046160171624,3.81787125103271,3.94778043083298,3.87623955477289,3.81977372180535,3.78084110244146,3.92479491135136,3.81096697027778,3.94151620289084,3.61920783981932,3.77444922510474,3.57543968579445,3.67511457355696,3.6438582562761,3.85293363096494,3.77526323769936,3.56743927918994,3.6972008248966,3.75897181182343
GPHN,3.21944384231048,2.98710024107338,3.32838959413585,3.12400051641226,3.28500632824885,2.9418422449667,3.3858115766528,3.26423254744135,3.53894265198212,3.4508090179181,3.43920017431569,3.56116711940449,3.57156396520077,3.60960529312745,3.51078581602141,3.55206806162555,3.32119729432966,2.95932001498957,3.34384227775862,3.14727027778859,3.34507403260698,2.76670797781874,3.01810480736532,3.18265313503,3.12216015389653,3.40907856494804,3.53647435299953,3.56776697730415,3.20635004951678,3.11268139847352,3.069875576478,3.43128252740851,3.46826179256554,3.44382665657608
TMEM127,2.87185361854159,3.56186454604076,3.11702424113244,3.31814058239928,2.75683001432588,3.4382696623248,3.34129897189053,3.1695421862414,3.19575329540635,2.86722758734564,2.94433804775034,3.10837049471542,2.76902782955071,3.09743258903659,3.13316608540426,2.3314475428778,2.57996641896508,3.22988218065174,3.09090072814377,3.28731545092271,3.27355241828273,3.36881125546214,3.50574387691105,3.29231943827514,3.47262877429513,2.11101033452768,2.25362146444345,2.45622023148872,3.24518731863288,3.28154625937381,3.32783670198464,2.25960582301438,2.983255422627,3.33572481447344
FRY,3.42936560196822,3.02430173090083,3.42791110718468,3.3611693142086,3.51775932311652,3.59591268024207,3.46455318166808,3.3969648790885,3.39207460489187,4.19343945904783,3.73832795905995,3.71474616416398,4.13286766038785,4.06837453470121,4.10152526600164,3.66612731425519,3.98342460680056,3.83881805960264,3.8401664647247,3.30840966191496,3.81934055914942,3.52550556288717,3.31139653336549,3.34428240883266,3.37466972609567,3.8712199862709,3.88302007941117,3.84700814140723,3.69460011020074,3.22847915084941,3.55394173734822,3.60953304879067,3.81688298479541,3.39239266471958
ZMYND11,4.16336889786721,3.88605022877328,4.44964705474278,3.82017307501555,4.2758960027359,4.19949394624479,4.24423153604857,4.30712191289519,4.25400589784473,4.45416912094274,4.47230911503778,4.33044005345844,4.44539282632631,4.47325392133091,4.33177428974633,4.26428555704199,4.38772673661968,4.43689158605337,4.28223513071106,3.98806244490157,4.35628260811747,4.30454631896694,4.11775849297309,4.10271419127732,4.05463951737384,4.30254791346184,4.30316319240053,4.3430256944311,4.41965114016035,3.92962677529201,4.20462808129531,4.22867894162643,4.39734849649954,4.41998086418583
AKT3,3.78020703199507,3.4416637207988,3.64309334659743,3.61761180411597,3.69112315055282,3.33283157094835,3.81613858217338,3.64290531806175,3.78381149622392,3.69919343479268,3.66918750291923,3.80671003251876,3.84801000288939,3.83506492720544,3.56618143636911,3.79265988858169,3.74532654690927,3.61094246917371,3.22349100871971,3.52147610009145,3.56396589552405,3.61123224586704,3.4716727253153,3.35817935452487,3.78639504094649,3.71586200789636,3.87017733410675,3.92522011655193,3.65950936929558,3.70065050848598,3.5407741798499,3.90111003780947,3.94941767373791,3.26654495326958
ARL4C,3.651814443406,3.546282255491,2.90932598479396,3.52806822681667,3.17913625525169,3.07596207984265,2.50273020091812,3.07445584118449,3.1667162927197,2.11843338350069,2.70435216804744,3.33185105831033,2.70758294927721,2.5188178396627,2.3383987166424,3.2436136656215,2.72322656026892,2.9090658342942,3.12963382979768,3.97590550552696,3.13824457777947,3.34312133267412,3.74165016008242,3.7693384003195,4.04702001951264,3.26746460233848,2.70905275942997,3.26959279102406,3.07907265885318,3.64543661458601,3.74569384468711,2.92060798313262,3.16568255536106,3.24599234756677
ARIH1,3.78133451531677,3.68553546690484,3.81206813258662,3.53990160292235,3.56382921203288,3.53774393674252,3.49467154209401,3.48608630760447,3.63434575273188,3.80623927827479,3.83785675941937,3.62728523831879,3.77243349381959,3.82056891029163,3.63816935865451,3.64681743234217,3.56714557481319,3.60673585838751,3.3955613902753,3.50731631015996,3.50283827592039,3.68379766457295,3.59922622351121,3.39693214549776,3.600587519698,3.7733528846337,3.79028227811218,3.723571577892,3.49247681807697,3.58209974207758,3.50642357763953,3.74187927944476,3.73666440721367,3.79925664668518
